[08:00]   理发店开始营业
[08:12]   ID为1 的顾客进入了理发店
[08:12]   ID为1 的顾客开始理发
[08:25]   ID为2 的顾客进入了理发店
[08:25]   ID为2 的顾客开始理发
[08:27]   ID为1 的顾客结束理发并离开了理发店 {到达时间=08:12, 离开时间=08:27, 理发所需时间=15min}
[08:34]   ID为3 的顾客进入了理发店
[08:34]   ID为3 的顾客开始理发
[08:41]   ID为4 的顾客进入了理发店
[08:41]   ID为4 的顾客开始理发
[08:53]   ID为3 的顾客结束理发并离开了理发店 {到达时间=08:34, 离开时间=08:53, 理发所需时间=19min}
[08:53]   ID为5 的顾客进入了理发店
[08:53]   ID为5 的顾客开始理发
[08:59]   ID为2 的顾客结束理发并离开了理发店 {到达时间=08:25, 离开时间=08:59, 理发所需时间=34min}
[09:06]   ID为6 的顾客进入了理发店
[09:06]   ID为6 的顾客开始理发
[09:09]   ID为4 的顾客结束理发并离开了理发店 {到达时间=08:41, 离开时间=09:09, 理发所需时间=28min}
[09:19]   ID为7 的顾客进入了理发店
[09:19]   ID为7 的顾客开始理发
[09:28]   ID为6 的顾客结束理发并离开了理发店 {到达时间=09:06, 离开时间=09:28, 理发所需时间=22min}
[09:32]   ID为5 的顾客结束理发并离开了理发店 {到达时间=08:53, 离开时间=09:32, 理发所需时间=39min}
[09:32]   ID为8 的顾客进入了理发店
[09:32]   ID为8 的顾客开始理发
[09:42]   ID为9 的顾客进入了理发店
[09:42]   ID为9 的顾客开始理发
[09:48]   ID为10 的顾客进入了理发店
[09:51]   ID为7 的顾客结束理发并离开了理发店 {到达时间=09:19, 离开时间=09:51, 理发所需时间=32min}
[09:51]   ID为10 的顾客开始理发
[09:56]   ID为11 的顾客进入了理发店
[10:05]   ID为8 的顾客结束理发并离开了理发店 {到达时间=09:32, 离开时间=10:05, 理发所需时间=33min}
[10:05]   ID为11 的顾客开始理发
[10:07]   ID为12 的顾客进入了理发店
[10:15]   ID为13 的顾客进入了理发店
[10:18]   ID为10 的顾客结束理发并离开了理发店 {到达时间=09:48, 离开时间=10:18, 理发所需时间=27min}
[10:18]   ID为12 的顾客开始理发
[10:20]   ID为9 的顾客结束理发并离开了理发店 {到达时间=09:42, 离开时间=10:20, 理发所需时间=38min}
[10:20]   ID为13 的顾客开始理发
[10:20]   ID为14 的顾客进入了理发店
[10:21]   ID为11 的顾客结束理发并离开了理发店 {到达时间=09:56, 离开时间=10:21, 理发所需时间=16min}
[10:21]   ID为14 的顾客开始理发
[10:27]   ID为15 的顾客进入了理发店
[10:34]   ID为16 的顾客进入了理发店
[10:36]   ID为14 的顾客结束理发并离开了理发店 {到达时间=10:20, 离开时间=10:36, 理发所需时间=15min}
[10:36]   ID为15 的顾客开始理发
[10:41]   ID为17 的顾客进入了理发店
[10:42]   ID为13 的顾客结束理发并离开了理发店 {到达时间=10:15, 离开时间=10:42, 理发所需时间=22min}
[10:42]   ID为16 的顾客开始理发
[10:46]   ID为12 的顾客结束理发并离开了理发店 {到达时间=10:07, 离开时间=10:46, 理发所需时间=28min}
[10:46]   ID为17 的顾客开始理发
[10:51]   ID为18 的顾客进入了理发店
[11:00]   ID为19 的顾客进入了理发店
[11:09]   ID为20 的顾客进入了理发店
[11:10]   ID为15 的顾客结束理发并离开了理发店 {到达时间=10:27, 离开时间=11:10, 理发所需时间=34min}
[11:10]   ID为18 的顾客开始理发
[11:16]   ID为16 的顾客结束理发并离开了理发店 {到达时间=10:34, 离开时间=11:16, 理发所需时间=34min}
[11:16]   ID为19 的顾客开始理发
[11:21]   ID为17 的顾客结束理发并离开了理发店 {到达时间=10:41, 离开时间=11:21, 理发所需时间=35min}
[11:21]   ID为20 的顾客开始理发
[11:22]   ID为21 的顾客进入了理发店
[11:28]   ID为22 的顾客进入了理发店
[11:32]   ID为19 的顾客结束理发并离开了理发店 {到达时间=11:00, 离开时间=11:32, 理发所需时间=16min}
[11:32]   ID为21 的顾客开始理发
[11:39]   ID为18 的顾客结束理发并离开了理发店 {到达时间=10:51, 离开时间=11:39, 理发所需时间=29min}
[11:39]   ID为22 的顾客开始理发
